Kod;Województwo;Powiat;Gmina;Komentarz
00-001;mazowieckie;Warszawa;Warszawa;ca³e miasto jako 1 kszta³t
05-070;mazowieckie;miñski;Sulejówek;
05-071;mazowieckie;miñski;Sulejówek;
05-074;mazowieckie;miñski;Halinów;
05-079;mazowieckie;miñski;Halinów;
05-080;mazowieckie;warszawski zachodni;Izabelin;
05-082;mazowieckie;warszawski zachodni;Stare Babice;
05-083;mazowieckie;warszawski zachodni;Leszno;
05-084;mazowieckie;warszawski zachodni;Leszno;
05-085;mazowieckie;warszawski zachodni;Kampinos;
05-088;mazowieckie;sochaczewski;Brochów;
05-090;mazowieckie;pruszkowski;Raszyn;
05-091;mazowieckie;wo³omiñski;Z¹bki;
05-092;mazowieckie;warszawski zachodni;£omianki;
05-100;mazowieckie;nowodworski;Nowy Dwór Mazowiecki;
05-101;mazowieckie;nowodworski;Nowy Dwór Mazowiecki;
05-102;mazowieckie;nowodworski;Nowy Dwór Mazowiecki;
05-110;mazowieckie;legionowski;Jab³onna;
05-119;mazowieckie;legionowski;Legionowo;
05-120;mazowieckie;legionowski;Legionowo;
05-123;mazowieckie;legionowski;Jab³onna;
05-124;mazowieckie;legionowski;Wieliszew;
05-126;mazowieckie;legionowski;Nieporêt;
05-130;mazowieckie;legionowski;Nieporêt;
05-131;mazowieckie;legionowski;Serock;
05-135;mazowieckie;legionowski;Wieliszew;
05-140;mazowieckie;legionowski;Serock;
05-152;mazowieckie;nowodworski;Czosnów;
05-155;mazowieckie;nowodworski;Leoncin;
05-160;mazowieckie;nowodworski;Nowy Dwór Mazowiecki;
05-170;mazowieckie;nowodworski;Zakroczym;
05-180;mazowieckie;nowodworski;Pomiechówek;
05-190;mazowieckie;nowodworski;Nasielsk;
05-191;mazowieckie;nowodworski;Nasielsk;
05-192;mazowieckie;p³oñski;Nowe Miasto;
05-200;mazowieckie;wo³omiñski;Wo³omin;
05-205;mazowieckie;wo³omiñski;Klembów;
05-220;mazowieckie;wo³omiñski;Zielonka;
05-230;mazowieckie;wo³omiñski;Koby³ka;
05-240;mazowieckie;wo³omiñski;T³uszcz;
05-250;mazowieckie;wo³omiñski;Radzymin;
05-252;mazowieckie;wo³omiñski;D¹brówka;
05-254;mazowieckie;wo³omiñski;D¹brówka;
05-255;mazowieckie;wo³omiñski;Radzymin;
05-270;mazowieckie;wo³omiñski;Marki;
05-280;mazowieckie;wo³omiñski;Jadów;
05-281;mazowieckie;wo³omiñski;Jadów;
05-282;mazowieckie;wo³omiñski;Strachówka;
05-303;mazowieckie;miñski;Miñsk Mazowiecki;
05-304;mazowieckie;miñski;Stanis³awów;
05-306;mazowieckie;miñski;Jakubów;
05-307;mazowieckie;miñski;Dobre;
05-310;mazowieckie;miñski;Ka³uszyn;
05-311;mazowieckie;miñski;Dêbe Wielkie;
05-317;mazowieckie;miñski;Mrozy;
05-319;mazowieckie;miñski;Ceg³ów;
05-320;mazowieckie;miñski;Mrozy;
05-326;mazowieckie;wo³omiñski;Poœwiêtne;
05-332;mazowieckie;miñski;Siennica;
05-334;mazowieckie;miñski;Latowicz;
05-340;mazowieckie;otwocki;Ko³biel;
05-400;mazowieckie;otwocki;Otwock;
05-402;mazowieckie;otwocki;Otwock;
05-408;mazowieckie;otwocki;Wi¹zowna;
05-430;mazowieckie;otwocki;Celestynów;
05-462;mazowieckie;otwocki;Wi¹zowna;
05-480;mazowieckie;otwocki;Karczew;
05-500;mazowieckie;piaseczyñski;Piaseczno;
05-501;mazowieckie;piaseczyñski;Lesznowola;
05-502;mazowieckie;piaseczyñski;Piaseczno;
05-503;mazowieckie;piaseczyñski;Piaseczno;
05-504;mazowieckie;piaseczyñski;Piaseczno;
05-505;mazowieckie;piaseczyñski;Pra¿mów;
05-506;mazowieckie;piaseczyñski;Lesznowola;
05-510;mazowieckie;piaseczyñski;Konstancin-Jeziorna;
05-520;mazowieckie;piaseczyñski;Konstancin-Jeziorna;
05-530;mazowieckie;piaseczyñski;Góra Kalwaria;
05-532;mazowieckie;piaseczyñski;Góra Kalwaria;
05-540;mazowieckie;piaseczyñski;Pra¿mów;
05-552;mazowieckie;piaseczyñski;Lesznowola;
05-555;mazowieckie;piaseczyñski;Tarczyn;
05-600;mazowieckie;grójecki;Grójec;
05-604;mazowieckie;grójecki;Jasieniec;
05-610;mazowieckie;grójecki;Goszczyn;
05-620;mazowieckie;grójecki;B³êdów;
05-622;mazowieckie;grójecki;Belsk Du¿y;
05-640;mazowieckie;grójecki;Mogielnica;
05-650;mazowieckie;grójecki;Chynów;
05-652;mazowieckie;grójecki;Pniewy;
05-660;mazowieckie;grójecki;Warka;
05-800;mazowieckie;pruszkowski;Pruszków;
05-802;mazowieckie;pruszkowski;Pruszków;
05-803;mazowieckie;pruszkowski;Pruszków;
05-804;mazowieckie;pruszkowski;Pruszków;
05-805;mazowieckie;pruszkowski;Brwinów;
05-806;mazowieckie;pruszkowski;Micha³owice;
05-807;mazowieckie;grodziski;Podkowa Leœna;
05-808;mazowieckie;pruszkowski;Brwinów;
05-816;mazowieckie;pruszkowski;Micha³owice;
05-820;mazowieckie;pruszkowski;Micha³owice;
